Part_id,Sc_id,abspathanglesrate,enddistance,endpupilsize,eyemovementvelocity,fixationrate,maxdistance,maxpupilsize,maxpupilvelocity,meanabspathangles,meandistance,meanfixationduration,meanpathdistance,meanpupilsize,meanpupilvelocity,meanrelpathangles,mindistance,minpupilsize,minpupilvelocity,relpathanglesrate,startdistance,startpupilsize,stddevabspathangles,stddevdistance,stddevfixationduration,stddevpathdistance,stddevpupilsize,stddevpupilvelocity,stddevrelpathangles,Answer
P24_01,seg1,4.905572902159835e-06,704.95,4.114,0.0007471677704462,3.2392823138656323e-06,707.55,4.23,3.404178674351586e-05,1.5704900945648288,702.1206730769238,202.17857142857144,239.20133404751687,3.9223144230769273,1.733638863293225e-06,1.2427901087033475,697.5,2.941,0.0,3.738194589043479e-06,702.7,3.802,1.1469848669197331,2.0632415824146206,104.5672045363663,170.9769989396889,0.1591901490319029,3.555273357705082e-06,1.0429749133808297,0
P24_01,seg2,4.393866901172296e-06,702.5999999999999,3.603,0.0011163165911569,3.3543179464060497e-06,718.0999999999999,3.94,1.0266570605187282e-05,1.4554596232795207,707.6952777777777,204.9,369.7776381875684,3.7599277777777775,1.1037767882656912e-06,0.8806460044767089,700.7,3.494,0.0,2.363173357797605e-06,702.9000000000001,3.799,1.118480982148561,5.275702439984432,53.29258860291926,186.24596796568977,0.1224561159820237,1.7901275306797024e-06,0.7387240684175769,1
P24_01,seg3,4.347406045694004e-06,697.05,4.065,0.000949874932114,3.2917913652099e-06,708.15,4.2135,8.03410592049958e-05,1.3757092907301631,700.4284463894962,242.56,300.581945971043,3.794987964989065,1.5584547496534474e-06,1.254918749436984,696.0,2.281,0.0,3.800456247161736e-06,706.4,3.626,1.085016413997418,2.2383495627831937,118.99022368805488,272.46155294393407,0.2019472838315636,5.59351351968685e-06,0.7827254571759412,0
P24_01,seg4,5.383518269692446e-06,709.0999999999999,3.4065000000000003,0.0008712240938562,3.512214898046256e-06,714.45,4.041,1.780246172320627e-05,1.60943858712105,707.2672222222225,186.42857142857144,260.4582364985375,3.480519444444444,1.4758733719504891e-06,1.3871221616755234,701.2,3.265,0.0,4.407883395775766e-06,705.25,3.49,1.1323126028161352,2.736594686782759,82.1587313853929,168.5913996684913,0.1067443300065556,2.2238685644746687e-06,1.0230915287163014,0
P24_01,seg5,4.497648021986126e-06,699.8,4.0085,0.0007806202514559,3.3511849091675296e-06,707.4,4.329,9.847484087906815e-06,1.4641164984574937,703.7335648148146,215.16666666666663,254.11481369811497,3.964113425925927,1.0467901917929111e-06,1.1918049414890488,697.95,2.596,0.0,3.328298945491159e-06,698.7,3.756,1.26544952234328,2.375724276434443,67.08723402926199,119.36091322158003,0.1981901948982083,1.4236389953823002e-06,1.0748205658367682,0
P24_01,seg6,4.106448302120647e-06,698.3,3.447,0.0009027337952382,3.5980452719548786e-06,710.5,4.172,2.356791161282575e-05,1.178115909052898,702.9451401869152,222.8125,258.98902593284885,3.846992523364485,1.129374672624223e-06,1.152867955676934,696.45,3.237,0.0,3.8888166535422e-06,705.15,3.7,1.346994046540502,2.7269178951524378,85.2962342700143,173.63911021013078,0.2300837678024409,2.060570507758191e-06,1.219043252192262,1
P24_01,seg7,4.043485062251127e-06,697.3,3.603,0.0008408200963183,2.698520451833518e-06,704.55,4.3575,2.3416391474031828e-05,1.5983020362648552,699.4676470588237,270.6875,332.3579663058781,3.835005602240901,1.7473705412126084e-06,1.207985296686014,695.2,2.616,0.0,2.852301400043716e-06,704.55,3.4605,0.9092014730393196,1.4054856647203149,183.2017899293927,253.36235111782264,0.2002434998650135,3.2280859000113152e-06,0.8713018922254714,1
P24_01,seg8,6.169737146199743e-06,701.4000000000001,3.696,0.0007697914220007,3.7030600765951526e-06,701.9,3.9895,4.401080756529572e-05,1.794281533072314,698.4763157894741,196.5,223.870563702074,3.745813596491229,1.7018758903183471e-06,1.402799158498662,695.9,2.842,0.0,4.452556765129432e-06,697.9,3.9895,1.1915720423441425,1.390753139961761,121.65762172209732,121.8173561800285,0.1512557906977693,4.125498283588599e-06,1.199382204846139,1
P24_01,seg9,4.74752736245863e-06,696.5,3.3035,0.0006777195255067,3.185929627715954e-06,701.2,4.053,6.952867006904833e-05,1.529369089217076,697.1960597826086,269.4871794871795,218.32065712036945,3.5558573369565227,1.487377175554707e-06,1.432639104130106,690.3,2.1235,0.0,4.330221348817545e-06,697.05,3.7325,1.0854522976702188,1.8494487405819664,174.0131380089736,152.72988394390077,0.2254177573614176,4.59349905282874e-06,1.058400154694043,1
P24_01,seg10,4.21851269369427e-06,697.25,3.56,0.0007277643893187,3.0021134878954785e-06,697.5999999999999,3.7065,1.1138465233577532e-05,1.580828572784216,695.9066298342541,260.77777777777777,272.7195161957687,3.492986187845305,1.0384703457238765e-06,1.2392588638224018,692.8,3.3355,0.0,2.893641138947424e-06,697.5,3.4775,1.2745712014993984,0.9884810013317752,119.74533161858314,118.90483823363412,0.0683158398530764,1.720507572868789e-06,1.4516957299629532,1
P24_01,seg11,5.135258738662489e-06,729.9,3.8205,0.0009529317788657,3.378348807450549e-06,741.25,4.221,7.127416836795964e-05,1.59243321980563,720.4617346938778,221.95454545454547,295.5021933849956,3.694956632653061,1.8442378848597432e-06,1.4168019751411336,694.95,2.379,0.0,4.351319330101483e-06,695.2,2.419,0.8574394592106704,16.976991050128223,94.55785695376302,202.96237678419487,0.2347139291760202,5.3730338256681415e-06,0.9192941197409116,1
P24_01,seg12,5.772871443326031e-06,719.8,3.357,0.0012485341280902,3.651227451388472e-06,725.9,3.9055,5.286700690483336e-05,1.6740814418829053,720.0250841750842,196.3333333333333,362.0638072253776,3.3057037037037027,1.4667374603865168e-06,1.1769036588969704,714.9,2.954,0.0,3.819682619559246e-06,718.0,3.3600000000000003,1.3096890689021736,2.291033950825813,102.5504180161842,432.2438252491944,0.1419076763290172,4.8054213160720135e-06,1.0242286247257424,1
P24_01,seg13,4.599601074966651e-06,694.2,3.62,0.00116521146563,3.4836758025723053e-06,705.45,4.035,1.6452503902966257e-05,1.3603398233050294,697.9388415672913,213.14705882352945,344.6132682886385,3.6305391822827935,1.0454685702316871e-06,1.6452561024277423,692.2,3.289,0.0,5.394389527587716e-06,699.1,3.72,1.2429242516197585,2.200926508390056,116.03790716907234,276.6761388305013,0.1049460173177907,2.026719581157013e-06,1.1471238983053202,1
P24_01,seg14,2.934735015663673e-06,695.3,3.796,0.0004841414430786,2.374562062910969e-06,700.6,4.044,0.0001247072951065,1.33097547223002,696.7483098591549,359.35714285714283,219.57021073059929,3.6427788732394353,1.3965849807315375e-06,1.3658794025158203,691.1,1.555,0.0,2.780027495764773e-06,694.45,3.3365,1.339860593554511,1.375418771273485,421.0526382482647,169.29362886130784,0.266305962217993,7.6131456854164e-06,1.1980565955300813,1
P24_01,seg15,2.757142492592477e-06,690.7,3.605,0.0004795630125835,1.7884841549246294e-06,692.6,4.0925,1.1708195737015875e-05,1.7985433264816637,689.8953389830502,223.7142857142857,312.8292637130095,3.842023305084747,8.603477202050028e-07,1.8877595909307223,687.35,3.404,0.0,2.4115915119189983e-06,687.7,3.6975,0.9578683108428748,1.3610851004103106,59.82673395095286,350.0243164663444,0.1603762215332599,1.221073077503118e-06,0.9145636009275888,1
P24_01,seg16,4.190247894268944e-06,719.5999999999999,3.5780000000000003,0.0008199274624649,3.638911737562952e-06,737.9,3.9655,9.870909636745723e-05,1.1771004143701047,719.9203947368419,197.43478260869568,230.3293218381937,3.5890361842105265,2.0035138896264463e-06,1.3426925985192666,711.5,2.639,0.0,4.673507689008456e-06,724.3,3.4610000000000003,1.1097887047330215,4.6456425361714295,94.49177557953874,206.51552646725565,0.154104154993339,5.622248703484683e-06,1.146242775900292,1
