Part_id,Sc_id,abspathanglesrate,enddistance,endpupilsize,eyemovementvelocity,fixationrate,maxdistance,maxpupilsize,maxpupilvelocity,meanabspathangles,meandistance,meanfixationduration,meanpathdistance,meanpupilsize,meanpupilvelocity,meanrelpathangles,mindistance,minpupilsize,minpupilvelocity,proportion_valid,relpathanglesrate,startdistance,startpupilsize,stddevabspathangles,stddevdistance,stddevfixationduration,stddevpathdistance,stddevpupilsize,stddevpupilvelocity,stddevrelpathangles,Title_numfixations,Title_longestfixation,Title_meanfixationduration,Title_stddevfixationduration,Title_timetofirstfixation,Title_timetolastfixation,Title_proportionnum,Title_proportiontime,Title_fixationrate,Title_totaltimespent,Title_meanpupilsize,Title_stddevpupilsize,Title_maxpupilsize,Title_minpupilsize,Title_startpupilsize,Title_endpupilsize,Title_meanpupilvelocity,Title_stddevpupilvelocity,Title_maxpupilvelocity,Title_minpupilvelocity,Title_meandistance,Title_stddevdistance,Title_maxdistance,Title_mindistance,Title_startdistance,Title_enddistance,Title_proptransfrom_Title,Title_proptransfrom_Content,Content_numfixations,Content_longestfixation,Content_meanfixationduration,Content_stddevfixationduration,Content_timetofirstfixation,Content_timetolastfixation,Content_proportionnum,Content_proportiontime,Content_fixationrate,Content_totaltimespent,Content_meanpupilsize,Content_stddevpupilsize,Content_maxpupilsize,Content_minpupilsize,Content_startpupilsize,Content_endpupilsize,Content_meanpupilvelocity,Content_stddevpupilvelocity,Content_maxpupilvelocity,Content_minpupilvelocity,Content_meandistance,Content_stddevdistance,Content_maxdistance,Content_mindistance,Content_startdistance,Content_enddistance,Content_proptransfrom_Title,Content_proptransfrom_Content,Answer
P24_01,seg1,4.905572902159835e-06,704.95,4.114,0.0007471677704462,3.2392823138656323e-06,707.55,4.23,3.404178674351586e-05,1.5704900945648288,702.1206730769238,202.17857142857144,239.20133404751687,3.9223144230769273,1.733638863293225e-06,1.2427901087033475,697.5,2.941,0.0,0.9611829944547134,3.738194589043479e-06,702.7,3.802,1.1469848669197331,2.0632415824146206,104.5672045363663,170.9769989396889,0.1591901490319029,3.555273357705082e-06,1.0429749133808297,2,283,183.0,141.4213562373095,1049260,1382358,0.0714285714285714,4.234204738838648e-05,0.0054644808743169,366,3.9183375,0.1199787581359557,4.027,3.537,3.876,3.9635,2.541992652184259e-06,6.1173526367740736e-06,2.6086695485110465e-05,0.0,703.2012499999997,0.7644746394478763,704.75,701.7,702.25,704.75,0.5,0.5,19,466,200.68421052631572,108.20199866277832,649542,8460686,0.6785714285714286,0.000441120837956,0.004982953055337,3813,3.931703539823012,0.1737273671415688,4.23,2.941,3.737,3.996,1.7439110715704392e-06,3.24529065379522e-06,2.5516330451488968e-05,0.0,701.7749262536872,1.895515474656888,707.55,698.0,706.8,707.4000000000001,0.0625,0.9375,0
P24_01,seg2,4.393866901172296e-06,702.5999999999999,3.603,0.0011163165911569,3.3543179464060497e-06,718.0999999999999,3.94,1.0266570605187282e-05,1.4554596232795207,707.6952777777777,204.9,369.7776381875684,3.7599277777777775,1.1037767882656912e-06,0.8806460044767089,700.7,3.494,0.0,1.0,2.363173357797605e-06,702.9000000000001,3.799,1.118480982148561,5.275702439984432,53.29258860291926,186.24596796568977,0.1224561159820237,1.7901275306797024e-06,0.7387240684175769,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,6,233,213.8333333333333,19.477337258123008,233169,2581513,0.6,0.0004303589925238,0.0046765393608729,1283,3.735307692307692,0.1153813363813484,3.94,3.527,3.799,3.648,9.45286662405466e-07,1.3771445244947094e-06,7.985589912939058e-06,3.002101471030723e-08,707.6978632478638,5.90351076567563,718.0999999999999,700.7,702.9000000000001,700.9000000000001,0.0,1.0,1
P24_01,seg3,4.347406045694004e-06,697.05,4.065,0.000949874932114,3.2917913652099e-06,708.15,4.2135,8.03410592049958e-05,1.3757092907301631,700.4284463894962,242.56,300.581945971043,3.794987964989065,1.5584547496534474e-06,1.254918749436984,696.0,2.281,0.0,0.9520833333333332,3.800456247161736e-06,706.4,3.626,1.085016413997418,2.2383495627831937,118.99022368805488,272.46155294393407,0.2019472838315636,5.59351351968685e-06,0.7827254571759412,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,3.5963000000000003,0.6932813361912399,3.9325,2.281,3.927,2.281,8.05763133636644e-06,2.405162679121596e-05,7.649354548183729e-05,0.0,704.945,0.7466406245458694,705.75,703.8,705.75,703.8,0.0,0.0,14,583,279.57142857142856,135.58461126981487,149895,7244895,0.56,0.0005153628561372,0.0035769034236075,3914,3.791072992700734,0.1634014252939078,4.131,3.435,3.626,3.968,1.0650881428489315e-06,1.7423115255029343e-06,1.8133781674072296e-05,0.0,700.859489051095,2.366610169423532,708.15,696.0,706.4,697.9000000000001,0.0,1.0,0
P24_01,seg4,5.383518269692446e-06,709.0999999999999,3.4065000000000003,0.0008712240938562,3.512214898046256e-06,714.45,4.041,1.780246172320627e-05,1.60943858712105,707.2672222222225,186.42857142857144,260.4582364985375,3.480519444444444,1.4758733719504891e-06,1.3871221616755234,701.2,3.265,0.0,1.0,4.407883395775766e-06,705.25,3.49,1.1323126028161352,2.736594686782759,82.1587313853929,168.5913996684913,0.1067443300065556,2.2238685644746687e-06,1.0230915287163014,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,14,366,197.5,72.54998277050106,466342,5546105,0.6666666666666666,0.0004624416282427,0.0050632911392405,2765,3.4390171673819725,0.0772531645186693,4.041,3.265,3.49,3.379,9.389044118775788e-07,1.757203937846359e-06,1.780246172320627e-05,0.0,705.8293991416308,1.9704510203554784,710.8,701.2,705.25,708.7,0.0,1.0,0
P24_01,seg5,4.497648021986126e-06,699.8,4.0085,0.0007806202514559,3.3511849091675296e-06,707.4,4.329,9.847484087906815e-06,1.4641164984574937,703.7335648148146,215.16666666666663,254.11481369811497,3.964113425925927,1.0467901917929111e-06,1.1918049414890488,697.95,2.596,0.0,0.9,3.328298945491159e-06,698.7,3.756,1.26544952234328,2.375724276434443,67.08723402926199,119.36091322158003,0.1981901948982083,1.4236389953823002e-06,1.0748205658367682,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,11,333,219.54545454545453,68.5395705215077,482992,3863956,0.9166666666666666,0.0006744259629699,0.0045548654244306,2415,3.977101485148516,0.1520823073428943,4.329,3.6355,3.756,4.0085,1.0559903293465111e-06,1.403187504689173e-06,9.847484087906815e-06,0.0,703.6242574257425,2.4122161510264664,707.4,697.95,698.7,699.8,0.0,1.0,0
P24_01,seg6,4.106448302120647e-06,698.3,3.447,0.0009027337952382,3.5980452719548786e-06,710.5,4.172,2.356791161282575e-05,1.178115909052898,702.9451401869152,222.8125,258.98902593284885,3.846992523364485,1.129374672624223e-06,1.152867955676934,696.45,3.237,0.0,0.9907407407407408,3.8888166535422e-06,705.15,3.7,1.346994046540502,2.7269178951524378,85.2962342700143,173.63911021013078,0.2300837678024409,2.060570507758191e-06,1.219043252192262,1,416,416.0,0.0,2664787,2664787,0.03125,4.677458853541342e-05,0.0024038461538461,416,4.0855,0.024486190585956,4.1275,4.043,4.0825,4.056,6.475912311573385e-07,1.0702597086069668e-06,4.833383368357785e-06,0.0,708.4071428571431,0.8265931904637193,709.65,706.65,709.3,706.65,0.0,1.0,28,416,223.1071428571429,79.23165252539393,116585,8627241,0.875,0.0007024059004344,0.0044821514326876,6247,3.850168454935621,0.2221325649260333,4.172,3.237,3.7,3.462,1.1853238653555683e-06,2.1687432164036342e-06,2.356791161282575e-05,0.0,702.8013948497855,2.251313400818418,710.5,696.7,705.15,696.7,0.04,0.96,1
P24_01,seg7,4.043485062251127e-06,697.3,3.603,0.0008408200963183,2.698520451833518e-06,704.55,4.3575,2.3416391474031828e-05,1.5983020362648552,699.4676470588237,270.6875,332.3579663058781,3.835005602240901,1.7473705412126084e-06,1.207985296686014,695.2,2.616,0.0,0.9916666666666668,2.852301400043716e-06,704.55,3.4605,0.9092014730393196,1.4054856647203149,183.2017899293927,253.36235111782264,0.2002434998650135,3.2280859000113152e-06,0.8713018922254714,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,2.616,,2.616,2.616,2.616,2.616,-1.0,-1.0,-1.0,-1.0,699.5,,699.5,699.5,699.5,699.5,0.0,0.0,4,816,370.75,300.61090576801547,499649,5862556,0.25,0.0002501191143793,0.0026972353337828,1483,3.76092156862745,0.2039914910997009,4.3575,3.1885000000000003,3.518,3.603,1.853935862576499e-06,3.75915925519806e-06,2.3416391474031828e-05,0.0,699.0034313725491,1.5802973119807389,704.35,695.2,704.35,697.3,0.0,0.0,1
P24_01,seg8,6.169737146199743e-06,701.4000000000001,3.696,0.0007697914220007,3.7030600765951526e-06,701.9,3.9895,4.401080756529572e-05,1.794281533072314,698.4763157894741,196.5,223.870563702074,3.745813596491229,1.7018758903183471e-06,1.402799158498662,695.9,2.842,0.0,0.946058091286307,4.452556765129432e-06,697.9,3.9895,1.1915720423441425,1.390753139961761,121.65762172209732,121.8173561800285,0.1512557906977693,4.125498283588599e-06,1.199382204846139,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,13,400,177.0,101.32538346008532,566268,3863934,0.9285714285714286,0.0006086243740175,0.0056497175141242,2301,3.717149999999999,0.1473475083858333,3.9525,2.842,3.9065,3.696,1.784348226662386e-06,4.341775817507858e-06,4.401080756529572e-05,0.0,698.4097368421052,1.4173798146040937,701.9,695.9,700.25,701.4000000000001,0.0,1.0,1
P24_01,seg9,4.74752736245863e-06,696.5,3.3035,0.0006777195255067,3.185929627715954e-06,701.2,4.053,6.952867006904833e-05,1.529369089217076,697.1960597826086,269.4871794871795,218.32065712036945,3.5558573369565227,1.487377175554707e-06,1.432639104130106,690.3,2.1235,0.0,0.9435897435897436,4.330221348817545e-06,697.05,3.7325,1.0854522976702188,1.8494487405819664,174.0131380089736,152.72988394390077,0.2254177573614176,4.59349905282874e-06,1.058400154694043,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,38,1016,268.2631578947368,176.17876121505594,83273,12907523,0.9743589743589745,0.0008327529903829,0.0037276829507553,10194,3.5540733427362503,0.1936915947551213,4.053,2.3245,3.7325,3.3035,1.4919724986428917e-06,4.617452412509857e-06,6.952867006904833e-05,0.0,697.1278561354017,1.8413725925166489,701.2,690.3,697.05,696.5,0.0,1.0,1
P24_01,seg10,4.21851269369427e-06,697.25,3.56,0.0007277643893187,3.0021134878954785e-06,697.5999999999999,3.7065,1.1138465233577532e-05,1.580828572784216,695.9066298342541,260.77777777777777,272.7195161957687,3.492986187845305,1.0384703457238765e-06,1.2392588638224018,692.8,3.3355,0.0,1.0,2.893641138947424e-06,697.5,3.4775,1.2745712014993984,0.9884810013317752,119.74533161858314,118.90483823363412,0.0683158398530764,1.720507572868789e-06,1.4516957299629532,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,8,333,228.875,76.9330645988539,416373,2847994,0.8888888888888888,0.000610763310704,0.0043691971600218,1831,3.4887034482758628,0.0687116937866242,3.604,3.3355,3.4775,3.56,8.40384181040444e-07,1.2413521996701407e-06,7.68584123934188e-06,0.0,695.853103448276,1.0404195983414726,697.5999999999999,692.8,697.5,697.25,0.0,1.0,1
